game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,9.0,2.0,15.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,5.0,12.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,11.0,,
