game_id,date,season,week,league,away,home,assist_tackles,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_made,pr_fc,receiving_tds,receiving_yards,receptions,solo_tackles,targets
FOOTBALL_AAF_2019_2_9_SD@SA,2019-02-09,2019,1,AAF,SD,SA,,,,,,,,,,,,1.0,0.0,11.0,1.0,,2.0
FOOTBALL_AAF_2019_2_17_ATL@SD,2019-02-17,2019,2,AAF,ATL,SD,,0.0,1.0,1.0,0.0,0.0,,,,,,,0.0,58.0,4.0,,6.0
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,,,,,,,,,,,,,2.0,50.0,4.0,,7.0
FOOTBALL_AAF_2019_3_2_SD@MEM,2019-03-02,2019,4,AAF,SD,MEM,,,,,,,,,,,,,0.0,12.0,2.0,,5.0
FOOTBALL_AAF_2019_3_9_SL@SD,2019-03-09,2019,5,AAF,SL,SD,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,47.0,4.0,1.0,8.0
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,,,,,,,,,,,,,0.0,23.0,3.0,,8.0
FOOTBALL_AAF_2019_3_24_SD@ARI,2019-03-24,2019,7,AAF,SD,ARI,,0.0,0.0,1.0,1.0,0.0,,,,,,,0.0,146.0,12.0,,14.0
FOOTBALL_AAF_2019_3_30_SD@SL,2019-03-30,2019,8,AAF,SD,SL,,,,,,,,,,,,,0.0,79.0,8.0,,16.0
