game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,,,,15.0,18.0,1.0,119.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,,,,18.0,11.0,1.0,85.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,17.0,3.0,37.0,28.0,17.0,1.0,152.0
