game_id,date,season,week,league,away,home,receiving_yards,receptions,rushing_yards
SYNTHETIC_CFL_2025_W1_TOR,,2025,1,CFL,,,2.0,1.0,3.0
SYNTHETIC_CFL_2025_W2_TOR,,2025,2,CFL,,,65.0,9.0,62.0
SYNTHETIC_CFL_2025_W3_TOR,,2025,3,CFL,,,,,37.0
SYNTHETIC_CFL_2025_W4_TOR,,2025,4,CFL,,,3.0,2.0,
