game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,1.0,4.0,7.0,,137.0,12.0,1.0,22.0,2.0,14.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,5.0,7.0,,76.0,12.0,,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,5.0,11.0,0.5,67.0,11.0,,,,
