game_id,date,season,week,league,away,home,def_ff,def_tackles,gp,punt_no,punt_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,1.0,10.0,,,32.0,4.0,370.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,4.0,12.0,,,30.0,2.0,454.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,12.0,,,48.0,8.0,669.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,10.0,,,28.0,2.0,307.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,12.0,3.0,102.0,29.0,1.0,337.0
