game_id,date,season,week,league,away,home,def_tackles,gp,pat_att,pat_made,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,4.0,11.0,,,19.0,,201.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,7.0,,,3.0,1.0,39.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,12.0,1.0,1.0,5.0,2.0,60.0
