game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,33.0,,,12.0,26.0,,18.0,,59.0,,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,43.0,,,16.0,17.0,,7.0,,60.0,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,50.0,,,18.0,23.0,,12.0,,73.0,14.0,7.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,41.0,,,18.0,22.0,,16.0,,63.0,13.0,8.0,,
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,2.0,2.0,2.0,,2.0,2.0,,2.0,,,,2.0,2.0
