game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,5.0,8.0,,44.0,51.0,4.0,299.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,2.0,4.0,1.0,33.0,28.0,,92.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,12.0,24.0,4.0,324.0,86.0,4.0,345.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,5.0,3.0,1.0,34.0,15.0,1.0,77.0
