game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,5.0,10.0,257.0,,,,,,,,15.0,1.0,146.0,,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,8.0,10.0,216.0,4.0,1.0,1.0,1.0,3.0,,,37.0,5.0,575.0,3.0,1.0,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,10.0,17.0,429.0,,,,,,2.0,5.0,33.0,2.0,332.0,2.0,,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,10.0,35.0,792.0,2.0,1.0,,,23.0,7.0,91.0,20.0,2.0,284.0,3.0,,4.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,11.0,16.0,353.0,,,,,,3.0,71.0,45.0,5.0,448.0,1.0,,2.0
