game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,3.0,3.0,11.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,12.0,15.0,162.0
