game_id,date,season,week,league,away,home,def_tackles,gp,rush_att
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,11.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,3.0
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,1.0,
