game_id,date,season,week,league,away,home,def_sack,def_solo,def_tot,def_ydsl,interceptions_made,ret_lg,ret_num,ret_yds,sacks,tackles
FOOTBALL_CFL_2019_10_18_SSK@BC,2019-10-18,2019,1,CFL,SSK,BC,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2019_11_17_WPG@SSK,2019-11-17,2019,1,CFL,WPG,SSK,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2019_8_1_HAM@SSK,2019-08-01,2019,1,CFL,HAM,SSK,,3.0,3.0,,,,,,,
FOOTBALL_CFL_2019_9_14_MTL@SSK,2019-09-14,2019,1,CFL,MTL,SSK,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2019_9_1_WPG@SSK,2019-09-01,2019,1,CFL,WPG,SSK,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2019_9_28_SSK@TOR,2019-09-28,2019,1,CFL,SSK,TOR,1.0,1.0,1.0,9.0,,,,,,
FOOTBALL_CFL_2019_9_7_SSK@WPG,2019-09-07,2019,1,CFL,SSK,WPG,,,,,,4.0,1.0,4.0,,
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,1.0,1.0,1.0,1.0,,,,,,
FOOTBALL_CFL_2021_10_30_SSK@MTL,2021-10-30,2021,1,CFL,SSK,MTL,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2021_11_20_SSK@HAM,2021-11-20,2021,1,CFL,SSK,HAM,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2021_8_14_HAM@SSK,2021-08-14,2021,1,CFL,HAM,SSK,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_10_22_CGY@SSK,2022-10-22,2022,1,CFL,CGY,SSK,,3.0,3.0,,,,,,,
FOOTBALL_CFL_2022_6_11_HAM@SSK,2022-06-11,2022,1,CFL,HAM,SSK,1.0,1.0,1.0,5.0,,,,,,
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2022_8_26_SSK@BC,2022-08-26,2022,1,CFL,SSK,BC,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2022_9_16_EDM@SSK,2022-09-16,2022,1,CFL,EDM,SSK,1.0,1.0,1.0,12.0,,,,,,
9889288,2023-06-16,2023,2,CFL,WPG,SSK,,,,,,,,,,3.0
9889317,2023-08-06,2023,9,CFL,OTT,SSK,,,,,0.0,,,,1.0,1.0
9889319,2023-08-11,2023,10,CFL,SSK,MTL,,,,,0.0,,,,0.0,3.0
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,,,,0.0,,,,0.0,2.0
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,,,0.0,,,,0.0,0.0
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,,,0.0,,,,1.0,1.0
9889347,2023-09-29,2023,17,CFL,SSK,BC,,,,,0.0,,,,0.0,3.0
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,,,0.0,,,,0.0,0.0
