game_id,date,season,week,league,away,home,gp,rush_att
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,4.0,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,6.0,1.0
