game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_3_14_T425358G979254@T425361,2025-03-15,2025,2,NAL,Idaho Horsemen,Sioux City Bandits,4.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,6.0,,,,16.0,22.0,0.0,97.0,,,,,,,,,,,,7.0,7.0,0.0,1.0,14.0,2.0,6.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,,2.0,,
FOOTBALL_NAL_2025_3_29_T425358G979260@T425360,2025-03-29,2025,4,NAL,Idaho Horsemen,Omaha Beef,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0,1.0,25.0,37.0,0.0,77.0,,,,,,,,,,,,4.0,4.0,0.0,0.0,4.0,1.0,2.0,7.0,6.0,0.0,0.0,10.0,0.0,0.0,,3.0,,
FOOTBALL_NAL_2025_4_3_T450150G979261@T425358,2025-04-04,2025,5,NAL,Shreveport Rouxgaroux,Idaho Horsemen,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.0,0.0,1.0,2.0,30.0,45.0,0.0,120.0,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,,2.0,,
FOOTBALL_NAL_2025_4_10_T425356G979264@T425358,2025-04-11,2025,6,NAL,Carolina Cobras,Idaho Horsemen,1.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,1.0,28.0,36.0,0.0,57.0,,,,,,,,,,,,,,,,,,-2.0,3.0,4.0,0.0,0.0,-6.0,0.0,0.0,,2.0,,
FOOTBALL_NAL_2025_4_19_T425358G979269@T425357,2025-04-20,2025,7,NAL,Idaho Horsemen,Colorado Spartans,0.0,,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,2.0,0.0,0.0,0.0,24.0,24.0,0.0,48.0,,,,,,,,,,,,13.0,13.0,0.0,0.0,25.0,2.0,3.0,7.0,6.0,0.0,0.0,17.0,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_5_4_T425361G981353@T425358,2025-05-04,2025,9,NAL,Sioux City Bandits,Idaho Horsemen,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,4.0,0.0,0.0,0.0,18.0,24.0,0.0,72.0,,,,,,,,,,,,8.0,11.0,0.0,0.0,16.0,2.0,3.0,7.0,3.0,0.0,1.0,10.0,0.0,0.0,,5.0,,
FOOTBALL_NAL_2025_5_15_T425357G979285@T425358,2025-05-16,2025,11,NAL,Colorado Spartans,Idaho Horsemen,1.0,286.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,3.0,0.0,0.0,0.0,20.0,25.0,0.0,62.0,7.0,2.0,5.0,27.0,17.0,47.0,2.0,1.0,143.0,33.0,20.0,8.0,8.0,0.0,0.0,8.0,1.0,4.0,19.0,5.0,1.0,0.0,21.0,0.0,0.0,,0.0,,
FOOTBALL_IFL_2026_3_22_TORLANDOPIRATESG20260322MNDZ@TNEWMEXICOCHUPACABRAS,2026-03-22,2026,2,IFL,Orlando Pirates,New Mexico Chupacabras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,15.0,,0.0,47.0,4.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_4_5_TQUADCITYSTEAMWHEELERSG20260405ZTCZ@TORLANDOPIRATES,2026-04-05,2026,4,IFL,Quad City Steamwheelers,Orlando Pirates,0.0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,14.7,24.0,,1.0,88.0,6.0,,,,,,,,,0.0,0.0,,
FOOTBALL_IFL_2026_4_12_TTULSAOILERSG20260412T2GX@TORLANDOPIRATES,2026-04-12,2026,5,IFL,Tulsa Oilers,Orlando Pirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,13.0,,1.0,52.0,5.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_4_17_TORLANDOPIRATESG202604173EPG@TJACKSONVILLESHARKS,2026-04-17,2026,6,IFL,Orlando Pirates,Jacksonville Sharks,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,5.7,10.0,,1.0,34.0,6.0,3.0,4.0,2.0,,1.0,6.0,,,,,,
FOOTBALL_IFL_2026_4_24_TORLANDOPIRATESG20260424R5XA@TGREENBAYBLIZZARD,2026-04-24,2026,7,IFL,Orlando Pirates,Green Bay Blizzard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,26.0,,1.0,57.0,4.0,,,,,,,,,,,,
