game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,gp,pr_no,pr_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,2.0,5.0,1.0,49.0,11.0,8.0,128.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,23.0,3.0,2.0,73.0,12.0,23.0,339.0
