game_id,date,season,week,league,away,home,assisted_tackles,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,goals,goals_minus_xg,goals_plus_assists,key_passes,lost_fumbles,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,sacks,shots,shots_on_target,solo_tackles,tackles,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-mls-2017-9z5k7Yg5A3,,2017,1,MLS,,,,0.0,-0.116,19.6947,4.2515,,,,,,,,0.0,-0.1571,0.0,2.0,,778.0,0.7561,328.0,-17.4158,-5.3097,0.0,,5.0,1.0,,,0.116,0.1571,-0.1084,0.2731,0.8092,0.11
soccer-uslc-2017-KPqjwN4Q6v,,2017,1,USLC,,,,0.0,-0.9838,20.7281,6.2862,,,,,,,,1.0,-0.0639,1.0,12.0,,1164.0,0.8052,498.0,-3.1616,-0.6349,0.0703,,6.0,2.0,,,0.9838,1.0639,-0.2987,2.0477,0.8116,0.3269
soccer-mls-2018-9z5k7Yg5A3,,2018,1,MLS,,,,0.0,-0.0488,18.3773,3.3222,,,,,,,,0.0,-0.3028,0.0,2.0,,468.0,0.8391,230.0,-2.301,-1.0005,0.0,,6.0,1.0,,,0.0488,0.3028,-0.1258,0.3516,0.8491,0.258
soccer-uslc-2018-KPqjwN4Q6v,,2018,1,USLC,,,,0.0,-0.8365,20.7555,6.207,,,,,,,,4.0,1.6662,4.0,11.0,,1363.0,0.7585,708.0,-21.3772,-3.0194,2.5669,,15.0,7.0,,,0.8365,2.3338,0.9959,3.1704,0.7887,1.6788
soccer-mls-2019-9z5k7Yg5A3,,2019,1,MLS,,,,0.0,0.0,12.1404,3.5107,,,,,,,,0.0,0.0,0.0,0.0,,66.0,0.8571,14.0,-0.0547,-0.3909,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.8611,0.0
soccer-uslc-2019-315VWlvq9x,,2019,1,USLC,,,,0.0,-0.0463,18.3473,0.9306,,,,,,,,1.0,0.4732,1.0,2.0,,255.0,0.8286,105.0,3.2552,3.1002,0.0,,3.0,1.0,,,0.0463,0.5268,0.3811,0.5731,0.7976,0.0746
soccer-uslc-2019-KPqjwN4Q6v,,2019,1,USLC,,,,0.0,-0.2588,15.5098,2.0912,,,,,,,,0.0,-0.0335,0.0,3.0,,275.0,0.7907,129.0,-6.5871,-5.1062,0.0,,1.0,0.0,,,0.2588,0.0335,-0.0335,0.2923,0.8418,0.0191
soccer-mls-2020-vzqoOgNqap,,2020,1,MLS,,,,2.0,1.0313,15.9594,-0.3693,,,,,,,,0.0,-0.7764,2.0,6.0,,1073.0,0.7896,385.0,-6.452,-1.6758,0.0,,9.0,3.0,,,0.9687,0.7764,-0.1375,1.745,0.8064,0.4531
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
soccer-mls-2021-YgOMngl5wN,,2021,1,MLS,,,,1.0,0.4358,19.8702,4.9136,,,,,,,,0.0,-0.4633,1.0,4.0,,1238.0,0.8281,477.0,-14.081,-2.952,0.0,,2.0,0.0,,,0.5642,0.4633,-0.4633,1.0276,0.8576,0.48
soccer-mls-2022-NPqxKXZ59d,,2022,1,MLS,,,,0.0,-0.0774,18.6783,1.2527,,,,,,,,1.0,-0.2401,1.0,2.0,,1053.0,0.863,467.0,-5.0001,-1.0707,0.0394,,7.0,1.0,,,0.0774,1.2401,-0.4461,1.3175,0.8737,0.3044
SYNTHETIC_USFL_2022_W4_NO,,2022,4,USFL,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
soccer-mls-2023-NPqxKXZ59d,,2023,1,MLS,,,,0.0,-0.0894,17.2896,1.4983,,,,,,,,0.0,-1.7983,0.0,1.0,,2094.0,0.8768,771.0,4.4404,0.5759,0.0,,17.0,4.0,,,0.0894,1.7983,-1.4855,1.8877,0.871,1.1637
soccer-mls-2024-mvzqoLZQap,,2024,1,MLS,,,,1.0,0.5172,16.7786,0.115,,,,,,,,0.0,-0.0845,1.0,3.0,,590.0,0.9148,364.0,-0.2948,-0.081,0.0,,3.0,2.0,,,0.4828,0.0845,0.1049,0.5673,0.9156,0.0256
