game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,16.0,,,11.0,2.0,,4.0,,18.0,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,33.0,,,18.0,19.0,,12.0,,52.0,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,14.0,,,17.0,5.0,,2.0,,19.0,1.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,19.0,,,18.0,7.0,,10.0,,26.0,1.0,,
703331825,2025-10-29,2025,1,NLL,GEORGIA,BUFFALO,0.0,0.0,0.0,,1.0,0.0,,0.0,,,0.0,0.0
