game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_tds,kr_yards,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
SALINA-CORPUS,,,1,,,,,,,,,,,,,,,,,,,,1.0,86.0,6.0,,,,,,,,,,
TRITONS-LIBERTY-0328,2025-03-28,2025,3,AF1,SALINA,CORPUS CHRISTI,,,,,,,,,,,,,,,,,2.0,86.0,8.0,,,,,,,,,,
CORPUSCHRISTI-WASHINGTON-0413,2025-04-13,2025,5,AF1,CORPUS CHRISTI,WASHINGTON,,,,,,,,,,,,,,,,,4.0,128.0,8.0,,,,,,,,,,
CORPUSCHRISTI-SWKANSAS-0419,2025-04-19,2025,6,AF1,SW KANSAS,CORPUS CHRISTI,,,,,,,,,,,,,,,,,2.0,75.0,5.0,,,,,,,,13.0,,
SWKANSAS-BILLINGS-0503,2025-05-03,2025,8,AF1,BILLINGS,SW KANSAS,,,,,,,,,,,,,,,,,1.0,88.0,9.0,,,,,,,0.0,0.0,,
BILLINGS-WASHINGTON-0510,2025-05-10,2025,9,AF1,WASHINGTON,BILLINGS,,,,,,,,,,,,,,,,,4.0,87.0,6.0,,,,,,,0.0,-1.0,,
BILLINGS-SALINA-0524,2025-05-24,2025,11,AF1,SALINA,BILLINGS,,,,,,,,,,,,,,,,,1.0,47.0,7.0,,,,,,,,,,
OREGON-BILLINGS-0601,2025-06-01,2025,12,AF1,BILLINGS,OREGON,,,,,,,,,,,,,,,,,3.0,73.0,5.0,,,,,,,,,,
NASHVILLE-BILLINGS-0609,2025-06-09,2025,13,AF1,BILLINGS,NASHVILLE,,,,,,,,,,,,,,,,,3.0,79.0,9.0,,,,,,,,,,
BILLINGS-OREGON-0614,2025-06-14,2025,14,AF1,OREGON,BILLINGS,,,,,,,,,,,,,,,,,0.0,63.0,6.0,,,,,,,,,,
4002611212131,2026-05-03,2026,1,50 Yard,Nashville Kats,Kentucky Barrels,,,,,,,,,,,,,,,,,2.0,74.0,,,,,,,,,5.0,,
FOOTBALL_AF1_2026_4_12_T606163G1168202@T584747,2026-04-12,2026,1,AF1,Michigan Arsenal,Kentucky Barrels,,,,,,,,,,,,,14.0,21.0,0.0,0.0,1.0,43.0,3.0,,,,,,,,,,
FOOTBALL_AF1_2026_4_19_T612138G1168205@T584747,2026-04-19,2026,2,AF1,Oceanside Bombers,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,21.0,45.0,0.0,0.0,4.0,124.0,6.0,,22.0,22.0,0.0,1.0,0.0,0.0,22.0,0.0,1.0
SYNTHETIC_50YARD_2026_W2_KENTUCKYBARRELS,2026-05-09,2026,2,50YARD,Kentucky Barrels,Albany Firebirds,,,,,,,,,,,,,,,,,2.0,113.0,13.0,,,,,,,,,,
SYNTHETIC_50YARD_2026_W3_KENTUCKYBARRELS,2026-05-17,2026,3,50YARD,BEAUMONT RENEGADES,KENTUCKY BARRELS,,,,,,,,,,,,,,,,,2.0,48.0,3.0,,,,,,,,,,
FOOTBALL_AF1_2026_5_3_T584637G1168212@T584747,2026-05-03,2026,4,AF1,Nashville Kats,Kentucky Barrels,,,,,,,,,,,,,19.0,37.0,0.0,0.0,2.0,74.0,4.0,,5.0,5.0,0.0,1.0,0.0,0.0,5.0,,
FOOTBALL_AF1_2026_5_9_T584747G1168215@T584635,2026-05-09,2026,5,AF1,Kentucky Barrels,Albany Firebirds,,,,,,,,,,,,,9.0,26.0,0.0,0.0,2.0,113.0,13.0,,,,,,,,,,
FOOTBALL_AF1_2026_5_17_T584761G1168220@T584747,2026-05-17,2026,6,AF1,Beaumont Renegades,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,18.0,16.0,33.0,0.0,0.0,2.0,48.0,3.0,0.0,,,,,,,,0.0,1.0
