game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-PIT-DET,2023-05-13,2023,3,,PIT,DET,,1.0,3.0,1.0,,2.0,,1.0,,72.0,8.0
2023-05-20-PIT-MIN,2023-05-20,2023,4,,PIT,MIN,1.0,,3.0,2.0,1.0,1.0,1.0,2.0,,58.0,50.0
2023-06-04-PIT-MAD,2023-06-04,2023,6,,PIT,MAD,,,2.0,1.0,,,,2.0,1.0,27.0,5.0
