game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2019_10_11_OTT@TOR,2019-10-11,2019,1,CFL,OTT,TOR,,,,,,,,,,,,21.0,2.0,38.0,,,,,,,,,
FOOTBALL_CFL_2019_10_18_TOR@MTL,2019-10-18,2019,1,CFL,TOR,MTL,,,,,,,,,,,,6.0,1.0,6.0,,,,,,,,,
FOOTBALL_CFL_2019_10_26_OTT@TOR,2019-10-26,2019,1,CFL,OTT,TOR,,,,,,,,1.0,,,,21.0,1.0,21.0,,,,,,,,,
FOOTBALL_CFL_2019_10_5_TOR@BC,2019-10-05,2019,1,CFL,TOR,BC,,,,,,10.0,1.0,1.0,,,10.0,10.0,1.0,10.0,,,,,,,,,
FOOTBALL_CFL_2019_11_2_TOR@HAM,2019-11-02,2019,1,CFL,TOR,HAM,,,,,,,,1.0,,,,31.0,4.0,73.0,,,,,,,,,
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,,,,,,,,,,,,13.0,1.0,13.0,,,,,,,,,
FOOTBALL_CFL_2019_9_28_SSK@TOR,2019-09-28,2019,1,CFL,SSK,TOR,,,,,,,,,,,,16.0,1.0,16.0,,,,,,,,,
FOOTBALL_CFL_2019_9_2_TOR@HAM,2019-09-02,2019,1,CFL,TOR,HAM,,,,,,,,,,,,22.0,3.0,53.0,,,,,,,,,
FOOTBALL_CFL_2021_10_11_TOR@HAM,2021-10-11,2021,1,CFL,TOR,HAM,,,,,,22.0,7.0,8.0,,60.0,105.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_22_TOR@MTL,2021-10-22,2021,1,CFL,TOR,MTL,,,,,,29.0,8.0,9.0,,43.0,116.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_30_BC@TOR,2021-10-30,2021,1,CFL,BC,TOR,,,,,,13.0,5.0,6.0,,13.0,44.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_6_OTT@TOR,2021-10-06,2021,1,CFL,OTT,TOR,,,,,,9.0,1.0,4.0,,5.0,9.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_12_HAM@TOR,2021-11-12,2021,1,CFL,HAM,TOR,,,,,,15.0,7.0,8.0,1.0,47.0,72.0,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_11_6_TOR@OTT,2021-11-06,2021,1,CFL,TOR,OTT,1.0,1.0,,,,18.0,5.0,7.0,1.0,10.0,58.0,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_12_5_HAM@TOR,2021-12-05,2021,1,CFL,HAM,TOR,,,,,,36.0,4.0,5.0,,37.0,74.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_13_TOR@WPG,2021-08-13,2021,1,CFL,TOR,WPG,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
