game_id,date,season,week,league,away,home,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,solo_tackles,tackles,xp_attempts,xp_made
FOOTBALL_IFL_2026_6_6_TTULSAOILERSG20260606EDGN@TFISHERSFREIGHT,2026-06-06,2026,13,IFL,Tulsa Oilers,Fishers Freight,,1.0,0.0,0.0,3.0,38.3,0.0,0.0,230.0,6.0,,,4.0,3.0
FOOTBALL_IFL_2026_6_13_TORLANDOPIRATESG202606136M0I@TTULSAOILERS,2026-06-13,2026,14,IFL,Orlando Pirates,Tulsa Oilers,,1.0,21.0,1.0,10.0,44.6,0.0,6.0,357.0,8.0,,,7.0,7.0
FOOTBALL_IFL_2026_6_20_TSANANTONIOGUNSLINGERSG20260620VJ0P@TTULSAOILERS,2026-06-20,2026,15,IFL,San Antonio Gunslingers,Tulsa Oilers,0.0,,,,6.0,48.1,0.0,2.0,385.0,8.0,1.0,1.0,8.0,6.0
FOOTBALL_IFL_2026_6_27_TTULSAOILERSG2026062789TG@TIOWABARNSTORMERS,2026-06-27,2026,16,IFL,Tulsa Oilers,Iowa Barnstormers,,,,,7.0,31.8,0.0,2.0,254.0,8.0,,,7.0,7.0
