game_id,date,season,week,league,away,home,dst_touchdown,gp,kr_no,kr_yds,lost_fumbles,pr_no,pr_yds,receiving_tds,receiving_yards,receptions,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds,rushing_tds,rushing_yards
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,4.0,6.0,160.0,,4.0,72.0,,,,22.0,4.0,253.0,7.0,1.0,47.0,,
SYNTHETIC_USFL_2022_W1_NJ,,2022,1,USFL,,,,,,,,,,0.0,23.0,2.0,,,,,,,0.0,6.0
SYNTHETIC_USFL_2022_W2_NJ,,2022,2,USFL,,,,,,,0.0,,,0.0,0.0,1.0,,,,,,,0.0,12.0
SYNTHETIC_USFL_2022_W3_NJ,,2022,3,USFL,,,,,,,,,,0.0,78.0,5.0,,,,,,,0.0,14.0
SYNTHETIC_USFL_2022_W4_NJ,,2022,4,USFL,,,,,,,,,,0.0,28.0,6.0,,,,,,,1.0,37.0
SYNTHETIC_USFL_2022_W5_NJ,,2022,5,USFL,,,,,,,,,,0.0,106.0,5.0,,,,,,,0.0,10.0
SYNTHETIC_USFL_2022_W6_NJ,,2022,6,USFL,,,,,,,,,,2.0,106.0,10.0,,,,,,,0.0,28.0
SYNTHETIC_USFL_2022_W7_NJ,,2022,7,USFL,,,,,,,,,,1.0,20.0,2.0,,,,,,,0.0,
SYNTHETIC_USFL_2022_W8_NJ,,2022,8,USFL,,,,,,,,,,1.0,83.0,5.0,,,,,,,0.0,10.0
SYNTHETIC_USFL_2022_W9_NJ,,2022,9,USFL,,,1.0,,,,,,,0.0,28.0,3.0,,,,,,,0.0,-1.0
SYNTHETIC_USFL_2022_W10_NJ,,2022,10,USFL,,,,,,,,,,0.0,68.0,5.0,,,,,,,,
SYNTHETIC_USFL_2022_W11_NJ,,2022,11,USFL,,,1.0,,,,,,,0.0,20.0,3.0,,,,,,,0.0,3.0
