game_id,date,season,week,league,away,home,conversions,events_played,field_goal_yards,pdga_points,pdga_rating
BILLINGS-OREGON,,,1,,,,9.0,,31.0,,
DGPT_2019_SEASON_TOTAL,,,1,,,,,3.0,,630.0,930.0
