game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_tds,kr_yards,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
ALBANY-SALINA-0504,2025-05-04,2025,8,AF1,SALINA,ALBANY,,,,,,,,,,,,,,,,,5.0,157.0,11.0,,,,,,,,,,
BILLINGS-SALINA-0524,2025-05-24,2025,11,AF1,SALINA,BILLINGS,,,,,,,,,,,,,,,,,3.0,159.0,8.0,,,,,,,,,,
SALINA-KANSAS-0607,2025-06-07,2025,13,AF1,SW KANSAS,SALINA,,,,,,,,,,,,,,,,,4.0,132.0,11.0,,,,,,,0.0,1.0,,
SWKANSAS-SALINA-0615,2025-06-15,2025,14,AF1,SALINA,SW KANSAS,,,,,,,,,,,,,,,,,0.0,100.0,8.0,,,,,,,,,,
SALINA-ALBANY-0621,2025-06-21,2025,15,AF1,ALBANY,SALINA,,,,,,,,,,,,,,,,,3.0,199.0,15.0,,,,,,,,,,
FOOTBALL_AF1_2026_4_17_T606163G1168206@T584637,2026-04-18,2026,2,AF1,Michigan Arsenal,Nashville Kats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,17.0,42.0,0.0,0.0,3.0,120.0,7.0,,,,,,,,,0.0,1.0
FOOTBALL_AF1_2026_4_25_T584641G1168210@T584637,2026-04-25,2026,3,AF1,Washington Wolfpack,Nashville Kats,,,,,,,,,,,,,14.0,14.0,0.0,0.0,1.0,70.0,5.0,,,,,,,,,,
FOOTBALL_AF1_2026_5_3_T584637G1168212@T584747,2026-05-03,2026,4,AF1,Nashville Kats,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.0,20.0,0.0,0.0,2.0,113.0,11.0,,,,,,,,,0.0,2.0
FOOTBALL_AF1_2026_5_9_T584638G1168218@T584637,2026-05-09,2026,5,AF1,Oregon Lightning,Nashville Kats,,,,,,,,,,,,,8.0,16.0,0.0,0.0,0.0,25.0,3.0,,2.0,0.0,0.0,1.0,0.0,0.0,2.0,,
FOOTBALL_AF1_2026_5_16_T612138G1168221@T584637,2026-05-16,2026,6,AF1,Oceanside Bombers,Nashville Kats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,42.0,17.0,26.0,0.0,1.0,1.0,117.0,7.0,0.0,,,,,,,,0.0,2.0
FOOTBALL_AF1_2026_5_22_T584637G1168386@T602555,2026-05-22,2026,7,AF1,Nashville Kats,Minnesota Monsters,,,,,,,,,2.0,24.0,0.0,49.0,12.0,21.0,0.0,0.0,1.0,104.0,9.0,0.0,,,,,,,,,
