game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-ATX-HTX,2023-04-29,2023,1,,ATX,HTX,1.0,1.0,6.0,7.0,,1.0,1.0,7.0,,78.0,91.0
2023-05-19-SD-HTX,2023-05-19,2023,4,,SD,HTX,,,8.0,8.0,,,,8.0,,93.0,7.0
2023-05-26-HTX-CAR,2023-05-26,2023,5,,HTX,CAR,,2.0,14.0,11.0,1.0,,,13.0,,141.0,-12.0
2023-05-27-HTX-ATL,2023-05-27,2023,5,,HTX,ATL,,,,,,,,,2.0,,
2023-06-02-HTX-ATX,2023-06-02,2023,6,,HTX,ATX,,,15.0,15.0,1.0,1.0,,16.0,,116.0,14.0
2023-06-03-DAL-HTX,2023-06-03,2023,6,,DAL,HTX,2.0,,,,,,,,,,
2023-06-17-ATX-HTX,2023-06-17,2023,8,,ATX,HTX,1.0,1.0,5.0,5.0,1.0,,1.0,5.0,,41.0,59.0
2023-06-23-ATL-HTX,2023-06-23,2023,9,,ATL,HTX,,,1.0,1.0,,,,1.0,,2.0,-5.0
2023-07-07-HTX-ATX,2023-07-07,2023,11,,HTX,ATX,,,4.0,1.0,1.0,,,3.0,2.0,39.0,9.0
2023-07-15-HTX-DAL,2023-07-15,2023,12,,HTX,DAL,1.0,,12.0,11.0,,2.0,,12.0,1.0,86.0,62.0
