game_id,date,season,week,league,away,home,1pt_conversion,conversions,passing_tds,passing_yards,rushing_tds,rushing_yards
1,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,1.0,,,,6.0
6,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,1.0,,,4.0,1.0,13.0
9,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,,2.0,,11.0,1.0,20.0
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,,,21.0,,5.0
17,2024-04-27,2024,5,UFL,RENEGADES,BRAHMAS,,,,-1.0,,
23,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,,,,,,10.0
25,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,,1.0,13.0,,-3.0
32,2024-05-19,2024,8,UFL,BRAHMAS,RENEGADES,,,,,,21.0
