game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,games_played,goals,goals_minus_xg,goals_plus_assists,key_passes,kick_returns,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,punt_returns,receiving_yards,rushing_yards,shots,shots_on_target,total_yards,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added,yards_per_game
FOOTBALL_NAL_2021_orlando-predators_SEASON_TOTAL,2021-12-31,,0,,,ORLANDO PREDATORS,,,,,5.0,,,,,8.0,,,,,,,4.0,2.0,2.0,,,0.0,,,,,,,0.0
soccer-mls-2017-19vQ2095K6,,2017,1,MLS,,,0.0,-0.0213,24.6157,13.9469,,0.0,-0.367,0.0,1.0,,576.0,0.731,171.0,1.7232,1.0077,0.0,,,,6.0,1.0,,0.0213,0.367,-0.3225,0.3883,0.7209,0.2146,
