game_id,date,season,week,league,away,home,assists,blocks,catches,completions,hockeyAssists,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-ATX-HTX,2023-04-29,2023,1,,ATX,HTX,,,2.0,2.0,,,2.0,,19.0,25.0
2023-05-28-ATX-DAL,2023-05-28,2023,5,,ATX,DAL,,,4.0,2.0,,,4.0,1.0,43.0,25.0
2023-07-07-HTX-ATX,2023-07-07,2023,11,,HTX,ATX,0.0,1.0,3.0,3.0,0.0,,3.0,,28.0,21.0
2023-07-08-ATX-DAL,2023-07-08,2023,11,,ATX,DAL,,,,,,7.0,,,,
