game_id,date,season,week,league,away,home,def_fr,def_int,def_pd,def_tackles,gp,kr_no,kr_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,2.0,2.0,11.0,4.0,1.0,13.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,8.0,12.0,40.0,12.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,2.0,4.0,22.0,10.0,,
