game_id,date,season,week,league,away,home,def_tackles,gp,punt_no,punt_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,10.0,28.0,937.0,4.0,,54.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,12.0,,,10.0,1.0,132.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,4.0,,,11.0,,121.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,2.0,,,7.0,,63.0
