game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,match_played
cricket-t20i-2021-11-08-1286671,2021-11-08,2021,1,T20I,Bahamas,Argentina,9.0,0.0,0.0,6.0,7.0,0.0,1.0
cricket-t20i-2021-11-13-1286684,2021-11-13,2021,1,T20I,Panama,Bahamas,14.0,0.0,0.0,6.0,6.0,0.0,1.0
cricket-t20i-2024-12-08-1462885,2024-12-08,2024,1,T20I,Bahamas,Argentina,6.0,0.0,0.0,9.0,3.0,0.0,1.0
cricket-t20i-2024-12-10-1462889,2024-12-10,2024,1,T20I,Bahamas,Belize,13.0,0.0,0.0,2.0,5.0,0.0,1.0
cricket-t20i-2024-12-11-1462893,2024-12-11,2024,1,T20I,Bahamas,Panama,21.0,5.0,0.0,3.0,30.0,0.0,1.0
cricket-t20i-2024-12-12-1462898,2024-12-12,2024,1,T20I,Bahamas,Cayman Islands,11.0,0.0,0.0,3.0,3.0,0.0,1.0
cricket-t20i-2024-12-15-1462906,2024-12-15,2024,1,T20I,Bermuda,Bahamas,45.0,3.0,0.0,5.0,40.0,2.0,1.0
cricket-t20i-2024-12-16-1462909,2024-12-16,2024,1,T20I,Bahamas,Mexico,14.0,1.0,0.0,6.0,10.0,0.0,1.0
cricket-t20i-2025-04-20-1481305,2025-04-20,2025,1,T20I,United States of America,Bahamas,21.0,0.0,0.0,6.0,5.0,0.0,1.0
cricket-t20i-2025-04-23-1481310,2025-04-23,2025,1,T20I,Bahamas,Bermuda,4.0,0.0,0.0,5.0,3.0,0.0,1.0
