game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,gp,kr_no,kr_yds,pr_no,pr_td,pr_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,4.0,4.0,11.0,44.0,9.0,12.0,313.0,9.0,2.0,42.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,3.0,5.0,26.0,5.0,1.0,39.0,11.0,3.0,321.0
