game_id,date,season,week,league,away,home,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_made,missed,points_against,sacks
88,2026-03-28,2026,1,UFL,DC DEFENDERS,ST. LOUIS BATTLEHAWKS,,1.0,110.0,,2.0,1.0,10.0,7.0
94,2026-04-07,2026,2,UFL,ST. LOUIS BATTLEHAWKS,DALLAS RENEGADES,,,65.0,,1.0,,31.0,0.0
98,2026-04-12,2026,3,UFL,BIRMINGHAM STALLIONS,ST. LOUIS BATTLEHAWKS,1.0,4.0,94.0,1.0,2.0,,24.0,1.0
101,2026-04-18,2026,4,UFL,ST. LOUIS BATTLEHAWKS,DC DEFENDERS,,1.0,105.0,,0.0,,26.0,2.0
104,2026-04-25,2026,5,UFL,ST. LOUIS BATTLEHAWKS,ORLANDO STORM,,1.0,76.0,1.0,0.0,,17.0,2.0
107,2026-04-30,2026,6,UFL,ST. LOUIS BATTLEHAWKS,LOUISVILLE KINGS,,1.0,42.0,,1.0,1.0,3.0,6.0
111,2026-05-08,2026,7,UFL,COLUMBUS AVIATORS,ST. LOUIS BATTLEHAWKS,,4.0,38.0,,1.0,,20.0,3.0
117,2026-05-16,2026,8,UFL,HOUSTON GAMBLERS,ST. LOUIS BATTLEHAWKS,,1.0,101.0,,1.0,1.0,17.0,2.0
122,2026-05-24,2026,9,UFL,ST. LOUIS BATTLEHAWKS,HOUSTON GAMBLERS,,1.0,70.0,1.0,1.0,1.0,15.0,4.0
