game_id,date,season,week,league,away,home,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
LIGHTNING-WOLFPACK-MAR22,,,2,,,,,,,,2.0,21.0,4.0,0.0,5.0
SWKANSAS-NASHVILLE,2025-03-08,2025,0,AF1,NASHVILLE,SW KANSAS,,,,,1.0,11.0,3.0,,
WASHINGTON-BILLINGS-0403,2025-04-03,2025,4,AF1,BILLINGS,WASHINGTON,,,,,0.0,26.0,4.0,,
CORPUSCHRISTI-WASHINGTON-0413,2025-04-13,2025,5,AF1,CORPUS CHRISTI,WASHINGTON,,,,,0.0,60.0,6.0,,
WASHINGTON-NASHVILLE-0417,2025-04-17,2025,6,AF1,NASHVILLE,WASHINGTON,,,,,2.0,37.0,6.0,,
OREGON-WASHINGTON-0425,2025-04-25,2025,7,AF1,WASHINGTON,OREGON,,,,,1.0,38.0,3.0,1.0,19.0
WASHINGTON-OREGON-0504,2025-05-04,2025,8,AF1,OREGON,WASHINGTON,,,,,0.0,54.0,5.0,,
BILLINGS-WASHINGTON-0510,2025-05-10,2025,9,AF1,WASHINGTON,BILLINGS,,,,,1.0,34.0,2.0,,
WASHINGTON-OREGON-0518,2025-05-18,2025,10,AF1,OREGON,WASHINGTON,,,,,0.0,0.0,1.0,0.0,2.0
FOOTBALL_AF1_2026_4_11_T602555G1168200@T584635,2026-04-11,2026,1,AF1,Minnesota Monsters,Albany Firebirds,4.0,4.0,0.0,0.0,0.0,4.0,1.0,,
SYNTHETIC_50YARD_2026_W1_MINNESOTAMONSTERS,2026-05-03,2026,1,50YARD,Minnesota Monsters,Oceanside Bombers,,,,,,9.0,1.0,,
FOOTBALL_AF1_2026_4_25_T602555G1168209@T606163,2026-04-25,2026,3,AF1,Minnesota Monsters,Michigan Arsenal,17.0,29.0,0.0,0.0,0.0,85.0,5.0,,
FOOTBALL_AF1_2026_5_3_T602555G1168214@T612138,2026-05-04,2026,4,AF1,Minnesota Monsters,Oceanside Bombers,9.0,9.0,0.0,0.0,0.0,9.0,1.0,,
