game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3a,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,turnovers
WNBA_202306090LAS,2023-06-09,2023,1,WNBA,CHI,LAS,,,,,,1.0,,,,,,0.8666666666666667,,-3.0,,,
WNBA_202306110LVA,2023-06-11,2023,1,WNBA,CHI,LVA,,,,1.0,,3.0,,,1.0,2.0,2.0,13.183333333333334,,9.0,2.0,,
WNBA_202306180WAS,2023-06-18,2023,1,WNBA,CHI,WAS,1.0,,2.0,,0.5,2.0,1.0,2.0,0.5,6.0,3.0,10.0,2.0,-5.0,5.0,4.0,2.0
WNBA_202306220CHI,2023-06-22,2023,1,WNBA,WAS,CHI,,,1.0,,,1.0,,,,,,2.2666666666666666,,-1.0,,1.0,
WNBA_202306280CHI,2023-06-28,2023,1,WNBA,LAS,CHI,1.0,,,,,,,,,,,1.1833333333333333,,3.0,,,
WNBA_202307070CHI,2023-07-07,2023,1,WNBA,ATL,CHI,,,,,,,,1.0,,,,1.1666666666666667,,-2.0,,,1.0
WNBA_202307200PHO,2023-07-20,2023,1,WNBA,CHI,PHO,,,,,,,,,,,,1.3833333333333333,1.0,2.0,,1.0,1.0
WNBA_202307220SEA,2023-07-22,2023,1,WNBA,CHI,SEA,,,,,,,,,,,,2.216666666666667,,-2.0,,,
WNBA_202307300CHI,2023-07-30,2023,1,WNBA,PHO,CHI,,,,,,,,,,,,1.9666666666666668,,,,,
WNBA_202308040DAL,2023-08-04,2023,1,WNBA,CHI,DAL,1.0,,,,,,,,,,,0.8666666666666667,,,,,
WNBA_202308110NYL,2023-08-11,2023,1,WNBA,CHI,NYL,,,,1.0,,1.0,,,,,,1.8333333333333335,,4.0,,,
WNBA_202308220CHI,2023-08-22,2023,1,WNBA,SEA,CHI,,,,,,1.0,,,,,,4.716666666666667,,-3.0,,,
WNBA_202309030CHI,2023-09-03,2023,1,WNBA,NYL,CHI,,,1.0,,,1.0,,,,,,1.55,,2.0,,1.0,
WNBA_202309050IND,2023-09-05,2023,1,WNBA,CHI,IND,,,1.0,,0.333,3.0,1.0,1.0,,,,6.233333333333333,,-3.0,2.0,1.0,
WNBA_202309100CON,2023-09-10,2023,1,WNBA,CHI,CON,,1.0,,1.0,,1.0,,2.0,,,,3.3833333333333333,,-2.0,,,
WNBA_202309130LVA,2023-09-13,2023,1,WNBA,CHI,LVA,,,,,,,,,,,,1.45,,4.0,,,
WNBA_202405140SEA,2024-05-14,2024,1,WNBA,MIN,SEA,,,,,,,,,,,,0.5333333333333333,,-2.0,,,
WNBA_202405230CON,2024-05-23,2024,1,WNBA,MIN,CON,,,1.0,,,,,,,,,2.5,,-8.0,,1.0,1.0
