game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg_pct,fga,fgm,fouls,minutes,off_rebounds,plus_minus,points,rebounds,steals
WNBA_202506170LAS,2025-06-17,2025,1,WNBA,SEA,LAS,,,1.0,,1.0,,,4.816666666666666,,1.0,,1.0,
WNBA_202506270SEA,2025-06-27,2025,1,WNBA,CON,SEA,1.0,1.0,1.0,1.0,1.0,1.0,,7.3,,-14.0,2.0,1.0,
WNBA_202506290GSV,2025-06-29,2025,1,WNBA,SEA,GSV,,,,1.0,1.0,1.0,,4.816666666666666,2.0,-2.0,2.0,2.0,
WNBA_202507060NYL,2025-07-06,2025,1,WNBA,SEA,NYL,,,,,,,2.0,2.25,,-6.0,,,
WNBA_202507220SEA,2025-07-22,2025,1,WNBA,DAL,SEA,,,,,,,,3.9166666666666665,,-5.0,,,1.0
WNBA_202507240CHI,2025-07-24,2025,1,WNBA,SEA,CHI,,,,,,,1.0,5.8,1.0,3.0,,1.0,1.0
WNBA_202507280CON,2025-07-28,2025,1,WNBA,SEA,CON,,,1.0,,1.0,,1.0,6.016666666666667,,-12.0,,1.0,
WNBA_202508220DAL,2025-08-22,2025,1,WNBA,SEA,DAL,,,1.0,1.0,1.0,1.0,,5.0,,7.0,2.0,1.0,
WNBA_202508260IND,2025-08-26,2025,1,WNBA,SEA,IND,,,1.0,1.0,2.0,2.0,1.0,6.333333333333333,,7.0,4.0,1.0,3.0
WNBA_202508300SEA,2025-08-30,2025,1,WNBA,CHI,SEA,1.0,,1.0,,,,2.0,12.083333333333334,,-6.0,,1.0,
WNBA_202509140LVA,2025-09-14,2025,1,WNBA,SEA,LVA,,,1.0,,,,,4.983333333333333,,7.0,,1.0,
