game_id,date,season,week,league,away,home,def_tackles,fg_att,gp,pat_att,pat_made
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,7.0,,12.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,9.0,,5.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,4.0,3.0,12.0,14.0,10.0
