game_id,date,season,week,league,away,home,attempts,avg,award_mvp,long,td,yards
FOOTBALL_XLEAGUE_2013_SEASON_TOTAL,,2013,1,XLEAGUE,,,46.0,9.7,,41.0,9.0,448.0
FOOTBALL_XLEAGUE_2014_SEASON_TOTAL,,2014,1,XLEAGUE,,,41.0,9.2,1.0,94.0,3.0,378.0
FOOTBALL_XLEAGUE_2015_SEASON_TOTAL,,2015,1,XLEAGUE,,,72.0,8.1,,69.0,6.0,580.0
FOOTBALL_XLEAGUE_2016_SEASON_TOTAL,,2016,1,XLEAGUE,,,69.0,5.3,,39.0,3.0,367.0
FOOTBALL_XLEAGUE_2017_SEASON_TOTAL,,2017,1,XLEAGUE,,,72.0,8.4,,97.0,3.0,605.0
