game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,10.0,10.0,6.0,,16.0,,1.0,1.0
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,66.0,17.0,20.0,6.0,86.0,17.0,1.0,
