game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,10.0,27.0,1.0,250.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,9.0,11.0,22.0,2.0,258.0
