game_id,date,season,week,league,away,home,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,pr_no,pr_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,1.0,9.0,2.0,77.0,12.0,1.0,3.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,,17.0,2.0,,
