game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_p,score_pr,score_pts,score_r,score_tot
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,,,,,,,,,,23.0,4.0,,76.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,,,,,,,,,,32.0,2.0,,43.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,,,,,,,,,,82.0,4.0,,167.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_20_SSK@HAM,2021-11-20,2021,1,CFL,SSK,HAM,,,,15.0,3.0,4.0,,23.0,29.0,22.0,2.0,,24.0,9.0,15.0,,41.0,,,,,,,,
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,,,,,,,,,,26.0,2.0,1.0,43.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2021_12_5_SSK@WPG,2021-12-05,2021,1,CFL,SSK,WPG,,,,23.0,1.0,1.0,,23.0,23.0,19.0,4.0,,70.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_11_SSK@WPG,2021-09-11,2021,1,CFL,SSK,WPG,,,,,,,,,,21.0,4.0,,78.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_17_TOR@SSK,2021-09-17,2021,1,CFL,TOR,SSK,,,,,,,,,,17.0,2.0,,27.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_24_SSK@BC,2021-09-24,2021,1,CFL,SSK,BC,,,,,,,,,,38.0,4.0,,98.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_5_WPG@SSK,2021-09-05,2021,1,CFL,WPG,SSK,,,,,,,,,,25.0,4.0,,73.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_22_CGY@SSK,2022-10-22,2022,1,CFL,CGY,SSK,,,,13.0,5.0,7.0,,33.0,34.0,23.0,1.0,,23.0,8.0,15.0,,39.0,,,,,,,,
FOOTBALL_CFL_2022_10_29_SSK@CGY,2022-10-29,2022,1,CFL,SSK,CGY,,,,22.0,4.0,4.0,,24.0,27.0,15.0,3.0,,41.0,8.0,30.0,1.0,63.0,,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_6_11_HAM@SSK,2022-06-11,2022,1,CFL,HAM,SSK,,,,30.0,3.0,3.0,,61.0,61.0,18.0,2.0,,27.0,9.0,5.0,,14.0,,,,,,,,
FOOTBALL_CFL_2022_6_18_SSK@EDM,2022-06-18,2022,1,CFL,SSK,EDM,,,,14.0,4.0,4.0,,27.0,28.0,26.0,2.0,,47.0,17.0,19.0,1.0,126.0,,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,,,8.0,2.0,3.0,,9.0,12.0,30.0,4.0,,96.0,4.0,6.0,,14.0,,,,,,,,
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,,,,,4.0,5.0,1.0,14.0,29.0,,,,,11.0,51.0,,77.0,,,,1.0,,6.0,,1.0
FOOTBALL_CFL_2022_7_24_TOR@SSK,2022-07-24,2022,1,CFL,TOR,SSK,,,,10.0,3.0,4.0,,17.0,26.0,,,,,10.0,11.0,,25.0,,,,,,,,
FOOTBALL_CFL_2022_7_29_BC@SSK,2022-07-29,2022,1,CFL,BC,SSK,,,,12.0,4.0,4.0,,29.0,39.0,,,,,8.0,28.0,,47.0,,,,,,,,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,,,11.0,2.0,2.0,,14.0,14.0,26.0,3.0,,64.0,16.0,18.0,1.0,103.0,,,2.0,,,10.0,1.0,1.0
FOOTBALL_CFL_2022_7_8_OTT@SSK,2022-07-08,2022,1,CFL,OTT,SSK,,,,33.0,6.0,6.0,,60.0,67.0,31.0,2.0,,60.0,16.0,19.0,,78.0,,,,,,,,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,,,,5.0,2.0,3.0,,-2.0,1.0,,,,,13.0,12.0,,46.0,,,,,,,,
FOOTBALL_CFL_2022_8_19_BC@SSK,2022-08-19,2022,1,CFL,BC,SSK,,,,18.0,4.0,5.0,,26.0,28.0,,,,,6.0,13.0,,34.0,,,,,,,,
SYNTHETIC_CFL_2022_W1_SSK,,2022,1,CFL,,,0.0,61.0,3.0,,,,,,,,,,,,,,,0.0,14.0,,,,,,
SYNTHETIC_CFL_2022_W3_SSK,,2022,3,CFL,,,0.0,12.0,2.0,,,,,,,,,,,,,,,0.0,14.0,,,,,,
SYNTHETIC_CFL_2022_W4_SSK,,2022,4,CFL,,,0.0,14.0,2.0,,,,,,,,,,,,,,,1.0,103.0,,,,,,
SYNTHETIC_CFL_2022_W5_SSK,,2022,5,CFL,,,0.0,67.0,6.0,,,,,,,,,,,,,,,0.0,78.0,,,,,,
6232,2022-07-16,2022,6,CFL,SSK,TOR,1.0,29.0,4.0,,,,,,,,,,,,,,,0.0,77.0,,,,,,
6237,2022-07-24,2022,7,CFL,TOR,SSK,0.0,26.0,3.0,,,,,,,,,,,,,,,0.0,25.0,,,,,,
6239,2022-07-29,2022,8,CFL,BC,SSK,0.0,39.0,4.0,,,,,,,,,,,,,,,0.0,47.0,,,,,,
6249,2022-08-13,2022,10,CFL,SSK,EDM,0.0,1.0,2.0,,,,,,,,,,,,,,,0.0,46.0,,,,,,
6251,2022-08-19,2022,11,CFL,BC,SSK,0.0,28.0,4.0,,,,,,,,,,,,,,,0.0,34.0,,,,,,
6287,2022-10-22,2022,20,CFL,CGY,SSK,0.0,34.0,5.0,,,,,,,,,,,,,,,0.0,39.0,,,,,,
9889286,2023-06-11,2023,1,CFL,SSK,EDM,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,80.0,,,,,,
9889288,2023-06-16,2023,2,CFL,WPG,SSK,0.0,17.0,1.0,,,,,,,,,,,,,,,0.0,25.0,,,,,,
