game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W1_HOU,,2022,1,USFL,,,,,,,0.0,71.0
SYNTHETIC_USFL_2022_W2_HOU,,2022,2,USFL,,,,,,,0.0,93.0
SYNTHETIC_USFL_2022_W3_HOU,,2022,3,USFL,,,,0.0,10.0,1.0,1.0,147.0
SYNTHETIC_USFL_2022_W4_HOU,,2022,4,USFL,,,,,,,0.0,10.0
SYNTHETIC_USFL_2022_W5_HOU,,2022,5,USFL,,,,0.0,3.0,1.0,0.0,80.0
SYNTHETIC_USFL_2022_W6_HOU,,2022,6,USFL,,,,2.0,25.0,3.0,0.0,23.0
SYNTHETIC_USFL_2022_W7_HOU,,2022,7,USFL,,,,0.0,-5.0,1.0,1.0,47.0
SYNTHETIC_USFL_2022_W9_HOU,,2022,9,USFL,,,,0.0,7.0,1.0,0.0,-9.0
SYNTHETIC_USFL_2022_W10_HOU,,2022,10,USFL,,,,,,,0.0,3.0
SYNTHETIC_USFL_2023_W3_GAMBLERS,2023-04-29,2023,3,USFL,GAMBLERS,SHOWBOATS,,0.0,32.0,3.0,2.0,81.0
SYNTHETIC_USFL_2023_W4_GAMBLERS,2023-05-06,2023,4,USFL,STARS,GAMBLERS,,0.0,8.0,1.0,3.0,134.0
SYNTHETIC_USFL_2023_W5_GAMBLERS,2023-05-13,2023,5,USFL,STALLIONS,GAMBLERS,,,,,3.0,78.0
SYNTHETIC_USFL_2023_W6_GAMBLERS,2023-05-21,2023,6,USFL,GAMBLERS,GENERALS,,0.0,8.0,4.0,1.0,82.0
SYNTHETIC_USFL_2023_W7_GAMBLERS,2023-05-28,2023,7,USFL,SHOWBOATS,GAMBLERS,,0.0,17.0,2.0,2.0,42.0
SYNTHETIC_USFL_2023_W8_GAMBLERS,2023-06-03,2023,8,USFL,MAULERS,GAMBLERS,,0.0,0.0,0.0,2.0,98.0
SYNTHETIC_USFL_2023_W9_GAMBLERS,2023-06-11,2023,9,USFL,GAMBLERS,STALLIONS,,0.0,15.0,3.0,0.0,56.0
SYNTHETIC_USFL_2023_W10_GAMBLERS,2023-06-18,2023,10,USFL,GAMBLERS,BREAKERS,,0.0,10.0,2.0,1.0,84.0
SYNTHETIC_UFL_2024_W4_ROUGHNECKS,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,0.0,5.0,1.0,1.0,34.0
SYNTHETIC_UFL_2024_W5_ROUGHNECKS,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,0.0,11.0,2.0,0.0,11.0
SYNTHETIC_UFL_2024_W6_ROUGHNECKS,2024-05-04,2024,6,UFL,BATTLEHAWKS,ROUGHNECKS,1.0,0.0,14.0,2.0,1.0,45.0
SYNTHETIC_UFL_2024_W7_ROUGHNECKS,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,,0.0,0.0,0.0,0.0,38.0
SYNTHETIC_UFL_2024_W8_ROUGHNECKS,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,,,,2.0,54.0
SYNTHETIC_UFL_2024_W9_ROUGHNECKS,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,1.0,0.0,3.0,1.0,1.0,38.0
SYNTHETIC_UFL_2024_W10_ROUGHNECKS,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,0.0,0.0,0.0,0.0,6.0
