game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
9889294,2023-06-25,2023,3,CFL,TOR,EDM,,,,,,,,0.0,6.0,,
9889297,2023-07-03,2023,4,CFL,BC,TOR,,,,,,,,1.0,2.0,,
9889303,2023-07-14,2023,6,CFL,TOR,MTL,,,,,,,,0.0,2.0,,
9889307,2023-07-21,2023,7,CFL,TOR,HAM,,,,,,,,1.0,1.0,,
9889311,2023-07-29,2023,8,CFL,SSK,TOR,0.0,,0.0,0.0,,,,,,,
9889315,2023-08-04,2023,9,CFL,TOR,CGY,1.0,,0.0,63.0,0.0,2.0,1.0,0.0,18.0,,
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,,,,,,,1.0,1.0,,
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,,,,,,1.0,1.0,,
9889346,2023-09-29,2023,17,CFL,TOR,WPG,0.0,0.0,1.0,231.0,,,,1.0,34.0,0.0,1.0
9889350,2023-10-06,2023,18,CFL,EDM,TOR,0.0,,0.0,13.0,,,,2.0,5.0,,
9889357,2023-10-14,2023,19,CFL,OTT,TOR,0.0,,0.0,23.0,,,,1.0,2.0,,
9889359,2023-10-21,2023,20,CFL,TOR,SSK,0.0,,0.0,113.0,,,,0.0,15.0,,
9889363,2023-10-28,2023,21,CFL,TOR,OTT,2.0,,1.0,317.0,,,,0.0,39.0,,
10798019,2024-06-09,2024,1,CFL,BC,TOR,,,3.0,254.0,,,,1.0,37.0,,
10798026,2024-06-22,2024,3,CFL,EDM,TOR,0.0,,2.0,214.0,,,,1.0,17.0,,
10798029,2024-06-28,2024,4,CFL,MTL,TOR,1.0,,0.0,199.0,,,,0.0,24.0,,
10798032,2024-07-04,2024,5,CFL,TOR,SSK,4.0,,0.0,206.0,,,,0.0,47.0,,
10798036,2024-07-11,2024,6,CFL,TOR,MTL,0.0,,1.0,131.0,,,,0.0,46.0,,
10798042,2024-07-20,2024,7,CFL,TOR,HAM,0.0,,0.0,180.0,,,,0.0,27.0,,
10798046,2024-07-27,2024,8,CFL,WPG,TOR,0.0,,0.0,37.0,,,,0.0,1.0,,
10798051,2024-08-04,2024,9,CFL,TOR,CGY,1.0,,1.0,177.0,,,,1.0,95.0,,
10798060,2024-08-22,2024,12,CFL,SSK,TOR,,,,,,,,1.0,1.0,,
10798072,2024-09-13,2024,15,CFL,TOR,BC,,,,,,,,0.0,3.0,,
10798082,2024-09-28,2024,17,CFL,MTL,TOR,0.0,,0.0,6.0,,,,,,,
10798086,2024-10-11,2024,19,CFL,TOR,WPG,,,,,,,,0.0,1.0,,
10798094,2024-10-25,2024,21,CFL,TOR,EDM,0.0,,0.0,40.0,,,,0.0,22.0,,
SYNTHETIC_CFL_2025_W14_TOR,,2025,14,CFL,,,0.0,,0.0,8.0,,,,,,,
