game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,18.0,41.0,8.0,569.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,14.0,56.0,11.0,898.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,16.0,45.0,2.0,589.0
