game_id,date,season,week,league,away,home,assists,blocks,drops,goals,receiving_tds,receiving_yards,receptions,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_RADICALS,,,1,AUDL,,,1.0,0.0,0.0,0.0,,,,0.0,0.0,11.0
SYNTHETIC_AUDL_W2_RADICALS,,,2,AUDL,,,0.0,0.0,0.0,0.0,,,,0.0,1.0,36.0
SYNTHETIC_AUDL_W3_RADICALS,,,3,AUDL,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-06-18-ATX-MAD,2022-06-18,2022,4,,ATX,MAD,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-06-25-MAD-MIN,2022-06-25,2022,5,,MAD,MIN,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-07-10-MIN-MAD,2022-07-10,2022,7,,MIN,MAD,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-07-15-IND-MAD,2022-07-15,2022,8,,IND,MAD,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-07-16-MAD-DET,2022-07-16,2022,8,,MAD,DET,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-07-29-CHI-MAD,2022-07-29,2022,10,,CHI,MAD,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2026_W3_COLUMBUSAVIATORS,,2026,3,UFL,,,,,,,0.0,0.0,0.0,,,
