game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,gp,kr_no,kr_td,kr_yds,pr_no,pr_td,pr_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,1.0,3.0,6.0,28.0,10.0,7.0,1.0,283.0,6.0,,54.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,,,5.0,31.0,12.0,35.0,,794.0,20.0,1.0,245.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,,5.0,1.0,,,,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,5.0,2.0,4.0,51.0,12.0,38.0,,811.0,6.0,,26.0
