game_id,date,season,week,league,away,home,completion_pct,interceptions,interceptions_lost,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_tds,passing_yards,passing_yds_lost,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards
BILLINGS-OREGON,,,1,,,,,1.0,,,,,,,,,,3.0,236.0,,,,,,,,,,1.0,8.0
LIGHTNING-WOLFPACK-MAR22,,,2,,,,,1.0,,,,,,,,,,4.0,247.0,,,,,,,,,,0.0,-2.0
STORM-LIGHTNING-0330,2025-03-30,2025,3,AF1,OREGON,SW KANSAS,,1.0,,,,,,,,,,3.0,258.0,,,,,,,,,,2.0,44.0
NASHVILLE-OREGON-0404,2025-04-04,2025,4,AF1,OREGON,NASHVILLE,,2.0,2.0,,,,,,,,,4.0,188.0,,,,,,,,,,4.0,104.0
SALINA-OREGON-0419,2025-04-19,2025,6,AF1,OREGON,SALINA,,,1.0,,,,,,,,,4.0,170.0,,,,,,,,,,1.0,8.0
OREGON-WASHINGTON-0425,2025-04-25,2025,7,AF1,WASHINGTON,OREGON,,2.0,,,,,,,,,,0.0,84.0,,,,,,,,,,0.0,49.0
WASHINGTON-OREGON-0504,2025-05-04,2025,8,AF1,OREGON,WASHINGTON,,3.0,,,,,,,,,,3.0,171.0,,,,,,,,,,1.0,9.0
OREGON-CORPUSCHRISTI-0512,2025-05-12,2025,9,AF1,CORPUS CHRISTI,OREGON,,1.0,,,,,,,,,,5.0,285.0,,,,,,,,,,,
WASHINGTON-OREGON-0518,2025-05-18,2025,10,AF1,OREGON,WASHINGTON,,1.0,,,,,,,,,,5.0,220.0,,0.0,-5.0,1.0,,,,,,1.0,7.0
OREGON-NASHVILLE-0524,2025-05-24,2025,11,AF1,NASHVILLE,OREGON,,3.0,,,,,,,,,,4.0,200.0,,,,,,,,,,2.0,8.0
OREGON-BILLINGS-0601,2025-06-01,2025,12,AF1,BILLINGS,OREGON,,2.0,,,,,,,,,,0.0,75.0,,,,,,,,,,1.0,41.0
CORPUSCHRISTI-OREGON-0608,2025-06-08,2025,13,AF1,OREGON,CORPUS CHRISTI,,1.0,,,,,,,,,,3.0,160.0,,,,,,,,,,,
BILLINGS-OREGON-0614,2025-06-14,2025,14,AF1,OREGON,BILLINGS,,0.0,,,,,,,,,,5.0,182.0,,,,,,,,,,,
FOOTBALL_AF1_2026_4_12_T584638G1168203@T584641,2026-04-12,2026,1,AF1,Oregon Lightning,Washington Wolfpack,476.0,2.0,,21.0,10.0,35.0,12.0,0.0,65.0,0.0,3.0,,117.0,0.0,,,,6.0,21.0,0.0,4.0,0.0,0.0,22.0
FOOTBALL_AF1_2026_4_25_T584635G1168207@T584638,2026-04-26,2026,3,AF1,Albany Firebirds,Oregon Lightning,405.0,1.0,,37.0,15.0,25.0,13.0,0.0,65.0,1.0,2.0,,197.0,0.0,,,,7.0,12.0,0.0,4.0,0.0,0.0,29.0
FOOTBALL_AF1_2026_5_2_T584638G1168213@T606163,2026-05-02,2026,4,AF1,Oregon Lightning,Michigan Arsenal,368.0,0.0,,19.0,7.0,25.0,14.0,0.0,71.0,3.0,1.0,,96.0,0.0,,,,1.0,2.0,0.0,2.0,0.0,0.0,2.0
FOOTBALL_AF1_2026_5_9_T584638G1168218@T584637,2026-05-09,2026,5,AF1,Oregon Lightning,Nashville Kats,333.0,0.0,,21.0,7.0,33.0,12.0,0.0,78.0,0.0,2.0,,82.0,0.0,,,,1.0,6.0,0.0,8.0,0.0,0.0,5.0
FOOTBALL_AF1_2026_5_16_T584641G1168222@T584638,2026-05-17,2026,6,AF1,Washington Wolfpack,Oregon Lightning,154.0,0.0,,13.0,2.0,18.0,13.0,0.0,40.0,0.0,0.0,,26.0,0.0,,,,3.0,9.0,0.0,8.0,0.0,2.0,22.0
