game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pass_att,pass_cmp,pass_yds,pat_att,pat_made,punt_no,punt_yds,rush_att
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,10.0,8.0,12.0,,,,51.0,35.0,1.0,48.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,16.0,11.0,12.0,1.0,1.0,13.0,75.0,66.0,27.0,909.0,1.0
