game_id,date,season,week,league,away,home,assist_tackles,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,int_avg,int_long,int_tds,int_yards,interceptions_made,sacks,solo_tackles,tackles
FOOTBALL_AAF_2019_2_9_ATL@ORL,2019-02-09,2019,1,AAF,ATL,ORL,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,
FOOTBALL_CFL_2022_6_11_EDM@BC,2022-06-11,2022,1,CFL,EDM,BC,,,,,2.0,2.0,,,,,,,,,,
FOOTBALL_CFL_2022_6_25_TOR@BC,2022-06-25,2022,1,CFL,TOR,BC,,1.0,25.0,,,,25.0,,,,,,,,,
FOOTBALL_CFL_2022_6_30_BC@OTT,2022-06-30,2022,1,CFL,BC,OTT,,,,,4.0,4.0,,,,,,,,,,
FOOTBALL_CFL_2022_7_21_HAM@BC,2022-07-21,2022,1,CFL,HAM,BC,,,,,5.0,5.0,,,,,,,,,,
FOOTBALL_CFL_2022_7_29_BC@SSK,2022-07-29,2022,1,CFL,BC,SSK,,,,,2.0,2.0,,,,,,,,,,
FOOTBALL_CFL_2022_7_9_WPG@BC,2022-07-09,2022,1,CFL,WPG,BC,,,,1.0,4.0,4.0,,10.0,,,,,,,,
FOOTBALL_CFL_2022_9_17_BC@CGY,2022-09-17,2022,1,CFL,BC,CGY,,,,,2.0,2.0,,,,,,,,,,
9889289,2023-06-17,2023,2,CFL,EDM,BC,,,,,,,,,,,,,,,,2.0
9889320,2023-08-12,2023,10,CFL,CGY,BC,,,,,,,,,,,,,0.0,0.0,,1.0
9889325,2023-08-20,2023,11,CFL,BC,SSK,,,,,,,,,,,,,0.0,0.0,,3.0
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,,,,,,,,,,,0.0,0.0,,5.0
9889330,2023-09-02,2023,13,CFL,BC,MTL,,,,,,,,,,,,,1.0,1.0,,3.0
9889341,2023-09-16,2023,15,CFL,OTT,BC,,,,,,,,,,,,,0.0,0.0,,4.0
9889343,2023-09-22,2023,16,CFL,BC,EDM,,,,,,,,,,,,,0.0,1.0,,3.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,,,,,,,,,,,,,0.0,0.0,,2.0
9889354,2023-10-13,2023,19,CFL,BC,HAM,,,,,,,,,,,,,0.0,0.0,,4.0
9889358,2023-10-20,2023,20,CFL,CGY,BC,,,,,,,,,,,,,0.0,0.0,,4.0
10798019,2024-06-09,2024,1,CFL,BC,TOR,,,,,,,,,,,,,,,,4.0
