game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,SA,ORL,,,,,1.0,1.0
SYNTHETIC_XFL_2023_W2_BRAHMAS,,2023,2,XFL,,,1.0,0.0,,,,
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SA,SEA,,,,,,2.0
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,8.0,1.0,,
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,,2.0,1.0,,3.0
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,,24.0,6.0,,3.0
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,9.0,4.0,,19.0
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,47.0,6.0,,10.0
SYNTHETIC_XFL_2023_W9_BRAHMAS,,2023,9,XFL,,,0.0,0.0,,,,
FOOTBALL_XFL_2023_4_22_DC@SA,2023-04-22,2023,10,XFL,DC,SA,,,17.0,2.0,1.0,13.0
SYNTHETIC_XFL_2023_W10_BRAHMAS,,2023,10,XFL,,,0.0,1.0,,,,
