game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_3_8_T425360G979249@T450150,2025-03-09,2025,1,NAL,Omaha Beef,Shreveport Rouxgaroux,,,,,,,,,,,,,,,7.0,8.0,0.0,0.0,14.0,2.0,,,,,,,,,,,,
FOOTBALL_NAL_2025_3_15_T425357G979252@T425360,2025-03-15,2025,2,NAL,Colorado Spartans,Omaha Beef,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,9.0,0.0,0.0,16.0,3.0,,,,,,,0.0,0.0,,0.0,,
FOOTBALL_NAL_2025_3_29_T425358G979260@T425360,2025-03-29,2025,4,NAL,Idaho Horsemen,Omaha Beef,,,,,,,,,,,,,,,11.0,18.0,0.0,0.0,22.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,,,,,,
FOOTBALL_NAL_2025_4_13_T425360G979263@T463723,2025-04-13,2025,6,NAL,Omaha Beef,Beaumont Renegades,,,,,,,,,,,,,,,7.0,12.0,0.0,0.0,46.0,7.0,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_19_T425361G979267@T425360,2025-04-19,2025,7,NAL,Sioux City Bandits,Omaha Beef,,,,,,,,,,,,,,,12.0,13.0,1.0,0.0,47.0,4.0,,,,,,,,,,,,
FOOTBALL_NAL_2025_5_10_T425360G979281@T425361,2025-05-11,2025,10,NAL,Omaha Beef,Sioux City Bandits,,,,,,,,,,,,,,,9.0,23.0,0.0,2.0,46.0,5.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,,,,,,,,,,5.0,22.2,30.0,0.0,111.0,14.0,17.0,,1.0,56.0,4.0,3.0,3.0,1.0,,0.0,3.0,,,,,,
FOOTBALL_IFL_2026_3_14_TQUADCITYSTEAMWHEELERSG20260314RYY1@TFISHERSFREIGHT,2026-03-14,2026,1,IFL,Quad City Steamwheelers,Fishers Freight,,,,,,,,,,1.0,17.0,17.0,0.0,17.0,11.0,13.0,,3.0,44.0,4.0,3.0,3.0,1.0,,0.0,3.0,,,,,,
FOOTBALL_IFL_2026_3_21_TIOWABARNSTORMERSG20260321EITG@TQUADCITYSTEAMWHEELERS,2026-03-21,2026,2,IFL,Iowa Barnstormers,Quad City Steamwheelers,,,,,,,,1.0,1.0,5.0,11.2,17.0,0.0,56.0,21.0,23.0,,1.0,42.0,2.0,,,,,,,,,,,,
FOOTBALL_NAL_2026_3_14_T577047G1127139@T566774,2026-03-14,2026,2,NAL,Pueblo Punishers,Omaha Beef,,,,,,,,,,,,,,,7.0,14.0,0.0,0.0,29.0,4.0,6.0,6.0,1.0,0.0,0.0,6.0,,,,,,
FOOTBALL_NAL_2026_3_21_T566774G1127144@T600411,2026-03-21,2026,3,NAL,Omaha Beef,Salina Liberty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,14.0,25.0,0.0,1.0,28.0,2.0,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_4_5_TQUADCITYSTEAMWHEELERSG20260405ZTCZ@TORLANDOPIRATES,2026-04-05,2026,4,IFL,Quad City Steamwheelers,Orlando Pirates,,,,,,,,,,2.0,12.5,14.0,0.0,25.0,16.7,34.0,,2.0,100.0,6.0,,,,,,,,,,,,
FOOTBALL_NAL_2026_3_28_T566774G1127145@T600414,2026-03-28,2026,4,NAL,Omaha Beef,Southwest Kansas Storm,,,,,,,,,,,,,,,10.0,10.0,0.0,0.0,10.0,1.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_4_11_TGREENBAYBLIZZARDG20260411RZSM@TQUADCITYSTEAMWHEELERS,2026-04-11,2026,5,IFL,Green Bay Blizzard,Quad City Steamwheelers,,,,,,,,,,3.0,16.3,20.0,0.0,49.0,3.5,4.0,,1.0,7.0,2.0,5.0,5.0,1.0,,0.0,5.0,,,,,,
FOOTBALL_IFL_2026_4_17_TQUADCITYSTEAMWHEELERSG20260417A5V1@TSANDIEGOSTRIKEFORCE,2026-04-17,2026,6,IFL,Quad City Steamwheelers,San Diego Strike Force,,,,,,,,,,7.0,20.3,50.0,1.0,142.0,17.1,45.0,,4.0,120.0,7.0,4.0,4.0,1.0,,0.0,4.0,,,,,,
FOOTBALL_IFL_2026_4_26_TJACKSONVILLESHARKSG20260426ME8M@TQUADCITYSTEAMWHEELERS,2026-04-26,2026,7,IFL,Jacksonville Sharks,Quad City Steamwheelers,0.0,,,,,,,,,5.0,15.8,30.0,0.0,79.0,14.2,36.0,,3.0,85.0,6.0,,,,,,,,,1.0,1.0,,
FOOTBALL_NAL_2026_4_18_T566774G1127156@T570667,2026-04-19,2026,7,NAL,Omaha Beef,Colorado Spartans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5.0,5.0,0.0,0.0,5.0,1.0,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_5_8_TQUADCITYSTEAMWHEELERSG202605081QHL@TGREENBAYBLIZZARD,2026-05-08,2026,9,IFL,Quad City Steamwheelers,Green Bay Blizzard,,,,,,,,,,2.0,7.0,7.0,0.0,14.0,9.0,18.0,,0.0,45.0,5.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_15_TTUCSONSUGARSKULLSG20260515CE9O@TQUADCITYSTEAMWHEELERS,2026-05-15,2026,10,IFL,Tucson Sugar Skulls,Quad City Steamwheelers,0.0,,,,,,,,,5.0,13.4,23.0,0.0,67.0,11.3,25.0,,1.0,45.0,4.0,6.0,6.0,1.0,,0.0,6.0,,,1.0,1.0,1.0,0.0
