game_id,date,season,week,league,away,home,pr_fc,pr_long,pr_yards,punt_returns,receiving_tds,receiving_yards,receptions,targets
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,,16.0,16.0,1.0,2.0,109.0,5.0,5.0
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,,,,,1.0,127.0,8.0,8.0
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,1.0,9.0,15.0,2.0,1.0,35.0,3.0,2.0
