game_id,date,season,week,league,away,home,def_fr,def_tackles,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,1.0,8.0,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,12.0,1.0,1.0,2.0
