game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_yards
STORM-FIREBIRDS,2025-03-21,2025,2,AF1,SW KANSAS,ALBANY,2.0,78.0,4.0,
KATS-FIREBIRDS-0329,2025-03-29,2025,3,AF1,ALBANY,NASHVILLE,1.0,20.0,3.0,
ALBANY-SALINA-0406,2025-04-06,2025,4,AF1,ALBANY,SALINA,1.0,3243.0,155.0,
SYNTHETIC_AF1_2025_W4_ALBANY,2025-04-06,2025,4,AF1,ALBANY,SALINA,1.0,30.0,2.0,
BILLINGS-ALBANY-0413,2025-04-13,2025,5,AF1,BILLINGS,ALBANY,260.0,4674.0,260.0,
SYNTHETIC_AF1_2025_W5_ALBANY,2025-04-13,2025,5,AF1,BILLINGS,ALBANY,2.0,36.0,2.0,
SYNTHETIC_AF1_2025_W6_ALBANY,2025-04-20,2025,6,AF1,ALBANY,BILLINGS,,5.0,3.0,8.0
CORPUSCHRISTI-ALBANY-0425,2025-04-25,2025,7,AF1,CORPUS CHRISTI,ALBANY,1.0,30.0,3.0,
ALBANY-SALINA-0504,2025-05-04,2025,8,AF1,SALINA,ALBANY,0.0,10.0,2.0,
ALBANY-NASHVILLE-0510,2025-05-10,2025,9,AF1,NASHVILLE,ALBANY,2.0,26.0,3.0,
CORPUSCHRISTI-ALBANY-0524,2025-05-24,2025,11,AF1,ALBANY,CORPUS CHRISTI,2.0,104.0,6.0,
WASHINGTON-ALBANY-0614,2025-06-14,2025,14,AF1,ALBANY,WASHINGTON,3.0,77.0,3.0,
SALINA-ALBANY-0621,2025-06-21,2025,15,AF1,ALBANY,SALINA,2.0,40.0,4.0,
NASHVILLE-ALBANY-0628,2025-06-28,2025,16,AF1,ALBANY,NASHVILLE,1.0,22.0,3.0,
4002611070524,2026-05-02,2026,1,50 Yard,Albany Firebirds,Washington Wolfpack,3.0,91.0,,
