game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,games_played,kick_returns,pass_defended,punt_returns,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards,total_yards,yards_per_game
FOOTBALL_NAL_2021_jacksonville-sharks_SEASON_TOTAL,2021-12-31,,0,,,JACKSONVILLE SHARKS,,,,,,,,,30.0,0.0,,5.0,5.0,12.0,,5.0,65.0,21.7,13.0,4.3,10.0,,,,,,,65.0,21.7
FOOTBALL_NAL_2025_3_21_T425356G979257@T434514,2025-03-21,2025,3,NAL,Carolina Cobras,Columbus Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11.0,16.0,0.0,2.0,32.0,,3.0,,,0.0,0.0,,1.0,,,,
FOOTBALL_NAL_2025_4_18_T463723G979268@T434514,2025-04-18,2025,7,NAL,Beaumont Renegades,Columbus Lions,,,,,,,,,,,,,7.0,13.0,0.0,1.0,20.0,,3.0,,,,,,,,,,
FOOTBALL_NAL_2025_4_26_T434514G979274@T425357,2025-04-27,2025,8,NAL,Columbus Lions,Colorado Spartans,,,,,,,,,,,,,32.0,32.0,0.0,0.0,32.0,,1.0,,,,,,,,,,
FOOTBALL_NAL_2025_5_10_T450150G979282@T434514,2025-05-10,2025,10,NAL,Shreveport Rouxgaroux,Columbus Lions,,,,,,,,,,,,,20.0,20.0,0.0,0.0,20.0,,1.0,,,,,,,,,,
FOOTBALL_NAL_2025_5_17_T434514G979287@T463723,2025-05-17,2025,11,NAL,Columbus Lions,Beaumont Renegades,,,,,,,,,,,,,20.0,22.0,0.0,3.0,79.0,,4.0,,,,,,,,,,
FOOTBALL_IFL_2026_5_17_TIOWABARNSTORMERSG202605177DL7@TNAZWRANGLERS,2026-05-17,2026,,IFL,Iowa Barnstormers,NAZ Wranglers,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
FOOTBALL_IFL_2026_3_23_TNAZWRANGLERSG20260323WKQX@TSANDIEGOSTRIKEFORCE,2026-03-23,2026,2,IFL,NAZ Wranglers,San Diego Strike Force,2.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,1.0,3.0,,,,
FOOTBALL_IFL_2026_3_28_TJACKSONVILLESHARKSG202603289OUR@TNAZWRANGLERS,2026-03-28,2026,3,IFL,Jacksonville Sharks,NAZ Wranglers,3.0,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
FOOTBALL_IFL_2026_4_11_TNAZWRANGLERSG2026041170L8@TNEWMEXICOCHUPACABRAS,2026-04-11,2026,5,IFL,NAZ Wranglers,New Mexico Chupacabras,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,0.0,1.0,,,,
FOOTBALL_IFL_2026_4_19_TARIZONARATTLERSG20260419RLTY@TNAZWRANGLERS,2026-04-19,2026,6,IFL,Arizona Rattlers,NAZ Wranglers,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
FOOTBALL_IFL_2026_4_25_TNAZWRANGLERSG20260425HT1S@TSANANTONIOGUNSLINGERS,2026-04-25,2026,7,IFL,NAZ Wranglers,San Antonio Gunslingers,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
FOOTBALL_IFL_2026_5_9_TSANANTONIOGUNSLINGERSG20260509KPE3@TNAZWRANGLERS,2026-05-09,2026,9,IFL,San Antonio Gunslingers,NAZ Wranglers,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,2.0,0.0,,
FOOTBALL_IFL_2026_5_23_TNAZWRANGLERSG20260523TYBS@TSANDIEGOSTRIKEFORCE,2026-05-23,2026,11,IFL,NAZ Wranglers,San Diego Strike Force,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,0.0,,
