game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-PIT-DET,2023-05-13,2023,3,,PIT,DET,,,7.0,14.0,,,,,14.0,,29.0,-15.0
2023-06-03-IND-DET,2023-06-03,2023,6,,IND,DET,,,3.0,2.0,,1.0,,,4.0,1.0,2.0,12.0
2023-06-11-DET-PIT,2023-06-11,2023,7,,DET,PIT,1.0,1.0,15.0,16.0,,1.0,3.0,,17.0,,12.0,166.0
2023-06-17-DET-IND,2023-06-17,2023,8,,DET,IND,1.0,,7.0,8.0,,,1.0,,8.0,,-38.0,102.0
2023-06-23-DET-CHI,2023-06-23,2023,9,,DET,CHI,,,1.0,3.0,,,,,3.0,2.0,-2.0,36.0
2023-06-24-CHI-DET,2023-06-24,2023,9,,CHI,DET,,,,,1.0,1.0,,,,,,
2023-06-30-DET-PIT,2023-06-30,2023,10,,DET,PIT,,1.0,4.0,5.0,,,,,5.0,,-1.0,31.0
2023-07-08-MAD-DET,2023-07-08,2023,11,,MAD,DET,,,1.0,2.0,,,,,2.0,,-11.0,31.0
2023-07-22-DET-MAD,2023-07-22,2023,13,,DET,MAD,,,6.0,5.0,,0.0,,,6.0,1.0,-2.0,22.0
2023-07-23-DET-MIN,2023-07-23,2023,13,,DET,MIN,1.0,,,,,,,1.0,,,,
