game_id,date,season,week,league,away,home,def_ast,def_sack,def_solo,def_tot,def_ydsl,ret_lg,ret_num,ret_yds,score_pts,score_saf
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,,,2.0,2.0,,,,,,
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,1.0,1.0,,,,,,
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,,1.0,1.0,,,,,,
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,,,2.0,2.0,,,,,,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,,3.0,3.0,,,,,,
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,,1.0,1.0,1.0,5.0,,,,,
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,1.0,1.0,1.0,7.0,,,,,
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,1.0,1.0,1.0,4.0,,,,,
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,,1.0,1.0,1.0,10.0,,,,,
FOOTBALL_CFL_2016_7_29_BC@CGY,2016-07-29,2016,1,CFL,BC,CGY,,1.0,3.0,3.0,12.0,,,,,
FOOTBALL_CFL_2016_7_7_TOR@BC,2016-07-07,2016,1,CFL,TOR,BC,,1.0,3.0,3.0,,,,,,
FOOTBALL_CFL_2016_8_13_HAM@BC,2016-08-13,2016,1,CFL,HAM,BC,,,2.0,2.0,,,,,,
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,,,1.0,1.0,,,,,,
FOOTBALL_CFL_2016_8_25_BC@OTT,2016-08-25,2016,1,CFL,BC,OTT,,2.0,4.0,4.0,13.0,,,,,
FOOTBALL_CFL_2016_8_31_BC@TOR,2016-08-31,2016,1,CFL,BC,TOR,,1.0,4.0,4.0,10.0,,,,,
FOOTBALL_CFL_2016_9_23_BC@EDM,2016-09-23,2016,1,CFL,BC,EDM,,,1.0,1.0,,,,,,
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,1.0,4.0,4.0,6.0,,,,,
FOOTBALL_CFL_2017_10_14_BC@WPG,2017-10-14,2017,1,CFL,BC,WPG,,1.0,3.0,3.0,7.0,,,,,
FOOTBALL_CFL_2017_10_21_EDM@BC,2017-10-21,2017,1,CFL,EDM,BC,,,2.0,2.0,,,,,,
FOOTBALL_CFL_2017_10_28_BC@WPG,2017-10-28,2017,1,CFL,BC,WPG,,1.0,2.0,2.0,2.0,,,,,
FOOTBALL_CFL_2017_10_7_OTT@BC,2017-10-07,2017,1,CFL,OTT,BC,,,1.0,1.0,,,,,,
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,,2.0,2.0,,,,,,
FOOTBALL_CFL_2017_8_19_CHI@ARI,2017-08-19,2017,1,CFL,CHI,ARI,2.0,1.0,1.0,3.0,7.0,,,,,
FOOTBALL_CFL_2017_8_26_ARI@ATL,2017-08-26,2017,1,CFL,ARI,ATL,,1.0,1.0,1.0,3.0,,,,,
FOOTBALL_CFL_2017_8_31_ARI@DEN,2017-08-31,2017,1,CFL,ARI,DEN,2.0,1.0,2.0,4.0,12.0,,,,2.0,1.0
FOOTBALL_CFL_2017_8_3_ARI@DAL,2017-08-03,2017,1,CFL,ARI,DAL,2.0,,6.0,8.0,,,,,,
FOOTBALL_CFL_2017_9_22_HAM@BC,2017-09-22,2017,1,CFL,HAM,BC,,1.0,2.0,2.0,3.0,,1.0,,,
FOOTBALL_CFL_2018_10_13_OTT@EDM,2018-10-13,2018,1,CFL,OTT,EDM,,2.0,3.0,3.0,12.0,,,,,
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,,1.0,5.0,5.0,10.0,,,,,
