game_id,date,season,week,league,away,home,def_fr,def_sacks,def_tackles,gp
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,,11.0,6.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,4.0,29.0,11.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,6.0,7.0
