game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-TOR-NY,2023-05-05,2023,2,,TOR,NY,1.0,,2.0,2.0,1.0,,2.0,,16.0,44.0
2023-05-13-MTL-TOR,2023-05-13,2023,3,,MTL,TOR,,1.0,1.0,,,,1.0,1.0,3.0,
2023-05-27-TOR-MTL,2023-05-27,2023,5,,TOR,MTL,,,3.0,2.0,,,3.0,1.0,23.0,-1.0
2023-06-25-MTL-TOR,2023-06-25,2023,9,,MTL,TOR,,,1.0,1.0,,1.0,1.0,,11.0,7.0
2023-07-01-BOS-TOR,2023-07-01,2023,10,,BOS,TOR,,,2.0,2.0,,,2.0,,2.0,9.0
2023-07-21-TOR-DC,2023-07-21,2023,13,,TOR,DC,1.0,,7.0,7.0,,,7.0,,78.0,38.0
2023-07-22-TOR-PHI,2023-07-22,2023,13,,TOR,PHI,,0.0,,,,,,0.0,,
