game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,recv_td,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_UFL_2024_4_7_BHAM@MICH,2024-04-07,2024,2,UFL,BHAM,MICH,,,,,,,,1.0,,,,,,,
FOOTBALL_UFL_2024_4_14_HOU@MICH,2024-04-14,2024,3,UFL,HOU,MICH,,,,,,,,1.0,,,,,,,
FOOTBALL_UFL_2024_4_20_MICH@SA,2024-04-20,2024,4,UFL,MICH,SA,,,,,,,,1.0,,,,,,,
FOOTBALL_NAL_2025_3_10_T425357G979251@T425362,2025-03-10,2025,1,NAL,Colorado Spartans,Wheeling Miners,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,4.0,,
FOOTBALL_UFL_2025_4_5_BHM@MICH,2025-04-05,2025,2,UFL,BHM,MICH,,,,,,,,1.0,,,,,,,
FOOTBALL_NAL_2025_3_22_T425362G979256@T450150,2025-03-23,2025,3,NAL,Wheeling Miners,Shreveport Rouxgaroux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,4.0,,
FOOTBALL_IFL_2026_3_22_TORLANDOPIRATESG20260322MNDZ@TNEWMEXICOCHUPACABRAS,2026-03-22,2026,2,IFL,Orlando Pirates,New Mexico Chupacabras,3.0,,,,,,,,10.0,1.5,,5.0,8.0,2.5,12.0
FOOTBALL_IFL_2026_4_5_TQUADCITYSTEAMWHEELERSG20260405ZTCZ@TORLANDOPIRATES,2026-04-05,2026,4,IFL,Quad City Steamwheelers,Orlando Pirates,0.0,,,,,,,,,,,5.0,5.0,3.0,0.0
FOOTBALL_IFL_2026_4_17_TORLANDOPIRATESG202604173EPG@TJACKSONVILLESHARKS,2026-04-17,2026,6,IFL,Orlando Pirates,Jacksonville Sharks,1.0,,,,,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_4_24_TORLANDOPIRATESG20260424R5XA@TGREENBAYBLIZZARD,2026-04-24,2026,7,IFL,Orlando Pirates,Green Bay Blizzard,1.0,,,,,,,,,,,7.0,8.0,,
FOOTBALL_IFL_2026_5_18_TVEGASKNIGHTHAWKSG20260518L91R@TORLANDOPIRATES,2026-05-18,2026,10,IFL,Vegas Knight Hawks,Orlando Pirates,5.0,,,,,,,,,,,0.0,5.0,,
