game_id,date,season,week,league,away,home,fumble_recoveries,receiving_tds,receiving_yards,receptions,rushing_yards
ifqjpmiu0rxpplon,2026-05-02,2026,1,50 Yard,New Mexico Chupacabras,Jacksonville Sharks,0.0,1.0,68.0,,
SYNTHETIC_50YARD_2026_W3_JACKSONVILLESHARKS,2026-05-16,2026,3,50YARD,JACKSONVILLE SHARKS,FISHERS FREIGHT,,1.0,12.0,1.0,2.0
