game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,,1,,,,5.0,,,12.0,2.0,,16.0,,7.0,,,,
NLL_2021_SEASON_TOTAL,,,1,,,,1.0,,,18.0,,,28.0,,1.0,,,,
NLL_2022_SEASON_TOTAL,,,1,,,,9.0,,,18.0,2.0,,22.0,,11.0,2.0,1.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,2.0,,,10.0,1.0,,4.0,,3.0,,,,
703328545,2025-10-29,2025,1,NLL,SAN DIEGO,OTTAWA,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0
